shelfNetworkRole,NE,shelfHardware,interface,Recurso,portBandwidth,EstadoRed,EstadoLisy,DescRed,DescLisy,EvEstado
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE3/0/5,IC1.HOR1100GE3/0/5,100GE,up,Available,TRK:ENLACE:COE1NA (Hu0/1/0/5) (S1-001 88HOR02 0/12/1)  Linea:15003453,NaN,revisar
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE3/0/6,IC1.HOR1100GE3/0/6,100GE,up,Available,TRK:ENLACE:COE1NA (Hu0/1/0/6) (S1-002 88HOR01 0/16/1)  Linea:15003693,NaN,revisar
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE8/0/4,IC1.HOR1100GE8/0/4,100GE,up,Available,TRK:ENLACE:IRD1NA (Hu0/5/0/1) (S3-003 88HOR01 0/1/1) Linea:15005385,NaN,revisar
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE8/0/5,IC1.HOR1100GE8/0/5,100GE,up,Available,TRK:ENLACE:IRD1NA (Hu0/5/0/2) (S3-006 88HOR02 0/20/1) Linea:15009124,NaN,revisar
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE8/0/6,IC1.HOR1100GE8/0/6,100GE,up,Available,TRK:ENLACE:IRD1NA (Hu0/17/0/0) (S3-007 88HOR01 0/22/1) Linea:15009125,NaN,revisar
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE8/0/7,IC1.HOR1100GE8/0/7,100GE,up,Available,TRK:ENLACE:IRD1NA (Hu0/17/0/1) (S3-008 88HOR01 0/24/1) Linea:15009126,NaN,revisar
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE8/0/8,IC1.HOR1100GE8/0/8,100GE,up,Available,TRK:ENLACE:IRD1NA (Hu0/17/0/2) (S3-009 88HOR02 0/24/1) Linea:15009127,NaN,revisar
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/0/0,IC1.HOR1100GE9/0/0,100GE,up,Available,TRK:ENLACE:BEL1NA (Hu0/15/0/2) (32WPU01 2/15/C2) Linea:15008585,NaN,revisar
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/0/1,IC1.HOR1100GE9/0/1,100GE,up,Available,TRK:ENLACE:BEL1NA (Hu0/15/0/3) (32WPU01 2/15/C1) Linea:15008555,NaN,revisar
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/0/2,IC1.HOR1100GE9/0/2,100GE,up,Available,TRK:ENLACE:BEL1NA (Hu0/15/0/4) (32WPU01 1/14/C1) Linea:15008586,NaN,revisar
