shelfNetworkRole,NE,shelfHardware,interface,Recurso,portBandwidth,EstadoRed,EstadoLisy,DescRed,DescLisy,EvEstado
OUTER CORE,BEL1NA,Cisco-ASR-9922,Te0/10/1/5,BEL1NATe0/10/1/5,Te,up,Reserved,Enlace 10G A 5AB1MU (ex CMIA) TE0/1/0 (Linea:15008925)-TAG101UBA2MI2NN - UPLINK BBIP,Miami - IRU Back LIN 15008925,revisar
OUTER CORE,BEL1NA,Cisco-ASR-9922,Te0/10/1/15,BEL1NATe0/10/1/15,Te,up,Reserved,Enlace 10G DWDM ZAR3MU_ G3/1/2 (Linea:15008090) - UPLINK AGN,uPE/METRO/ZAR3MU (L=15008090),revisar
OUTER CORE,BEL1NA,Cisco-ASR-9922,Te0/10/1/16,BEL1NATe0/10/1/16,Te,up,Reserved,Enlace 10G DWDM ZAR3MU_G3/1/1 (Linea:15008089) - UPLINK AGN,uPE/METRO/ZAR3MU (L=15008089),revisar
OUTER CORE,BEL1NA,Cisco-ASR-9922,Te0/10/1/17,BEL1NATe0/10/1/17,Te,up,Reserved,Enlace 10G DWDM ZAR3MU _G3/1/0 (Linea: 15006509) - UPLINK AGN,uPE/METRO/ZAR3MU (L=15006510),revisar
OUTER CORE,BEL1NA,Cisco-ASR-9922,Te0/11/0/12,BEL1NATe0/11/0/12,Te,up,Reserved,Enlace 10G DWDM CAP3MU_G3/0/2 (Linea:15009130) - UPLINK AGN,UPLINK de CAP3MU 3/0/2 Linea 15009130,revisar
OUTER CORE,BEL1NA,Cisco-ASR-9922,Te0/11/1/3,BEL1NATe0/11/1/3,Te,up,Reserved,Enlace 10G A BEL1RR Te (Linea:15008269) - UPLINK BBIP,NaN,revisar
OUTER CORE,BEL1NA,Cisco-ASR-9922,Te0/11/1/4,BEL1NATe0/11/1/4,Te,up,Reserved,TRK:ENLACE:ROA1.PIL1 - xe-2/2/1 - 32BEL10 16/3/C1 Linea 15009357,L=15019357 Rehoming PIL,revisar
OUTER CORE,BEL1NA,Cisco-ASR-9922,Te0/11/1/5,BEL1NATe0/11/1/5,Te,up,Reserved,TRK:ENLACE:ROA1.PIL1 - xe-2/1/0-  32BEL10 16/3/C2 Linea 15009358,L=15019358 Rehoming PIL,revisar
OUTER CORE,BEL1NA,Cisco-ASR-9922,Te0/11/1/6,BEL1NATe0/11/1/6,Te,up,Reserved,TRK:ENLACE:ROA1.PIL1 - xe-2/1/1 - 32BEL10  16/3/C3 Linea 15009359,L=15019359 Rehoming PIL,revisar
OUTER CORE,BEL1NA,Cisco-ASR-9922,Te0/11/1/7,BEL1NATe0/11/1/7,Te,up,Reserved,TRK:ENLACE:ROA1.PIL1 - xe-2/0/0 - 32BEL10 16/3/C4 Linea 15009360,L=15019360 Rehoming PIL,revisar
OUTER CORE,BEL1NA,Cisco-ASR-9922,Te0/11/1/8,BEL1NATe0/11/1/8,Te,up,Reserved,TRK:ENLACE:ROA1.PIL1 - xe-2/0/1  -  32BEL10 16/3/C5 Linea 15009361,L=15019361 Rehoming PIL,revisar
OUTER CORE,BEL1NA,Cisco-ASR-9922,Te0/11/1/9,BEL1NATe0/11/1/9,Te,up,Reserved,TRK:ENLACE: ROA1.VLO1 - xe-3/1/1 - 32BEL10 16/2/11 Linea 15019367,L=15019367 Rehoming VLO,revisar
OUTER CORE,BEL1NA,Cisco-ASR-9922,Te0/11/1/10,BEL1NATe0/11/1/10,Te,up,Reserved,TRK:ENLACE: ROA1.VLO1 - xe-4/1/0 -  32BEL10 16/2/12 Linea 15019368,L=15019368 Rehoming VLO,revisar
OUTER CORE,BEL1NA,Cisco-ASR-9922,Hu0/13/0/6,BEL1NAHu0/13/0/6,Hu,up,Reserved,ENLACE 100G a BELCDN03 Hu0/0/1/0 - Linea: 15008580,UPLINK A MUNTOR01-0/0/1/2- LINEA 15008331,revisar
OUTER CORE,BEL1NA,Cisco-ASR-9922,Hu0/14/0/6,BEL1NAHu0/14/0/6,Hu,up,Reserved,ENLACE 100G a BELCDN03 Hu0/0/1/1 - Linea: 15008581,UPLINK A MUNTOR02-0/0/1/2- LINEA 15008333,revisar
OUTER CORE,BEL1NA,Cisco-ASR-9922,Hu0/15/0/6,BEL1NAHu0/15/0/6,Hu,up,Reserved,ENLACE 100G a BELCDN03 Hu0/0/1/2 - Linea: 15008596,NaN,revisar
OUTER CORE,BEL1NA,Cisco-ASR-9922,Hu0/18/0/7,BEL1NAHu0/18/0/7,Hu,up,Reserved,TRK:ENLACE:ROA1.VCR1 - et-2/0/2 - 32BEL10 1/17/C1 ,ENLACE ROA1.VCR1-BEL1NA (L=15009294),revisar
OUTER CORE,BUA1NA,Cisco-ASR-9922,Hu0/15/0/0,BUA1NAHu0/15/0/0,Hu,up,Reserved,TRK:ENLACE:COE1NA (100GE0/15/0/0) Linea:13002845,NaN,revisar
OUTER CORE,BUA1NA,Cisco-ASR-9922,Hu0/15/0/3,BUA1NAHu0/15/0/3,Hu,up,Reserved,TRK:ENLACE:COE1NA (100GE0/15/0/3) (S8-004 88BUA01 0/20/1) Linea:15009165,a COE1NA Hu0/15/0/3 L:15009165,revisar
OUTER CORE,BUA1NA,Cisco-ASR-9922,Hu0/18/0/0,BUA1NAHu0/18/0/0,Hu,up,Reserved,TRK:ENLACE:RES1NA (100GE0/18/0/7) (88BUA01-0/18/1) Linea:13002848,Enlace 100G NN A COE1NA Hu0/16/0/1 (Linea:13006954) - UPLINK BBIP,revisar
