shelfNetworkRole,NE,shelfHardware,interface,Recurso,portBandwidth,EstadoRed,EstadoLisy,DescRed,DescLisy,EvEstado
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE2/1/3,IC1.HOR1100GE2/1/3,100GE,up,Active,TRK:ENLACE:ROS6.HOR1 (Hu0/0/0/1),NaN,ok_reserva
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE2/1/4,IC1.HOR1100GE2/1/4,100GE,up,Active,TRK:ENLACE:ROS6.HOR1 (Hu0/5/1/0),NaN,ok_reserva
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE2/1/5,IC1.HOR1100GE2/1/5,100GE,up,Active,TRK:ENLACE:ROS6.HOR1 (Hu0/5/1/1),NaN,ok_reserva
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE8/0/0,IC1.HOR1100GE8/0/0,100GE,up,Active,TRK:ENLACE:IRD1NA (Hu0/7/0/0) (S3-005 88HOR02 0/3/1) Linea:11004841,NaN,ok_reserva
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE8/0/1,IC1.HOR1100GE8/0/1,100GE,up,Active,TRK:ENLACE:IRD1NA (Hu0/7/0/1) (S3-004 88HOR01 0/3/1) Linea:11004840,NaN,ok_reserva
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE8/0/2,IC1.HOR1100GE8/0/2,100GE,up,Active,TRK:ENLACE:IRD1NA (Hu0/7/0/2) (S3-002 88HOR01 0/12/1) Linea:15003692,NaN,ok_reserva
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE8/0/3,IC1.HOR1100GE8/0/3,100GE,up,Active,TRK:ENLACE:IRD1NA (Hu0/5/0/0) (S3-001 88HOR02 0/16/1) Linea:15003451,NaN,ok_reserva
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/0/0,IC1.HOR1100GE9/0/0,100GE,up,Active,TRK:ENLACE:BEL1NA (Hu0/15/0/2) (32WPU01 2/15/C2) Linea:15008585,Linea:15008585,ok_reserva
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/0/1,IC1.HOR1100GE9/0/1,100GE,up,Active,TRK:ENLACE:BEL1NA (Hu0/15/0/3) (32WPU01 2/15/C1) Linea:15008555,Linea:15008555,ok_reserva
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/0/2,IC1.HOR1100GE9/0/2,100GE,up,Active,TRK:ENLACE:BEL1NA (Hu0/15/0/4) (32WPU01 1/14/C1) Linea:15008586,Linea:15008586,ok_reserva
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/0/3,IC1.HOR1100GE9/0/3,100GE,up,Active,TRK:ENLACE:BEL1NA (Hu0/15/0/5) (32WPU01 1/16/C1) Linea:15008587,Linea:15008587,ok_reserva
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/0/4,IC1.HOR1100GE9/0/4,100GE,up,Active,TRK:ENLACE:BEL1NA (Hu0/9/0/6)  (32WPU01 1/16/C2) Linea:15008383,Linea:15008383,ok_reserva
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/0/5,IC1.HOR1100GE9/0/5,100GE,up,Active,TRK:ENLACE:ROE1.SLO1 (Hu0/2/0/1) (S004_1 98HOR02 5/1),NaN,ok_reserva
INNER CORE,IC1.HOR1,Huawei-NE9000-20,100GE9/0/6,IC1.HOR1100GE9/0/6,100GE,up,Active,TRK:ENLACE:ROE1.SLO1 (Hu0/2/0/2) (S004_2 98HOR02 5/2),NaN,ok_reserva
