shelfNetworkRole,NE,shelfHardware,interface,Recurso,portBandwidth,EstadoRed,EstadoLisy,DescRed,DescLisy,EvEstado
OUTER CORE,MUN1NA,Cisco-ASR-9922,Te0/10/0/18,MUN1NATe0/10/0/18,Te,up,Active,DWMD VCO2MU 3/0/1 NL:11003691,DWMD VCO2MU 3/0/1 NL:11003691,ok
OUTER CORE,MUN1NA,Cisco-ASR-9922,Te0/10/1/1,MUN1NATe0/10/1/1,Te,up,Active,Enlace 10G DWDM CAP3MU_G4/0/3 (Linea:15009132) - UPLINK AGN,NaN,ok
OUTER CORE,MUN1NA,Cisco-ASR-9922,Te0/10/1/2,MUN1NATe0/10/1/2,Te,up,Active,Enlace 10G DWDM ZAR3MU_G6/1/1 (Linea:15008091) - UPLINK AGN,NaN,ok
OUTER CORE,MUN1NA,Cisco-ASR-9922,Te0/11/0/1,MUN1NATe0/11/0/1,Te,up,Active,Enlace 10G DWDM CAP3MU_G4/0/0 (Linea:15008004) - UPLINK AGN,Enlace 10G DWDM CAP3MU_G4/0/0 (Linea:15008004) - UPLINK AGN,ok
OUTER CORE,MUN1NA,Cisco-ASR-9922,Te0/11/0/3,MUN1NATe0/11/0/3,Te,up,Active,Enlace 10G DWDM GAR2MU_G8/0/0 (Linea:15008083) - UPLINK AGN,Enlace 10G DWDM GAR2MU_G8/0/0 (Linea:15008083) - UPLINK AGN,ok
OUTER CORE,MUN1NA,Cisco-ASR-9922,Te0/11/0/6,MUN1NATe0/11/0/6,Te,up,Active,CDN CISCO Enlace a TenGigEth1/14 (Linea: 15002802) - STREAMER 20G,CDN CISCO Enlace a TenGigEth1/14 (Linea: 15002802) - STREAMER 20G,ok
OUTER CORE,MUN1NA,Cisco-ASR-9922,Te0/11/0/7,MUN1NATe0/11/0/7,Te,up,Active,ENLACE-M 10G DWDM A ANI2NP Te0/0/0/0 (15003543) - UPLINK MOVIL-SPLIT,ENLACE-M 10G DWDM A ANI1NP Te1/0/0/0 (15003543) - UPLINK MOVIL-SPLIT,ok
OUTER CORE,COE1NA,Cisco-ASR-9922,Hu0/0/0/1,COE1NAHu0/0/0/1,Hu,up,Active,Enlace 100G NN A COE1MB Hu0/3/0/0 (Linea:13002759) - UPLINK BBIP,Enlace 100G NN A COE1MB Hu0/3/0/0 (Linea:13002759) - UPLINK BBIP,ok
OUTER CORE,COE1NA,Cisco-ASR-9922,Hu0/0/0/2,COE1NAHu0/0/0/2,Hu,up,Active,Enlace 100G NN A COE2MB Hu0/3/0/0 (Linea:13002261) - UPLINK BBIP,Enlace 100G NN A COE2MB Hu0/3/0/0 (Linea:13002261) - UPLINK BBIP,ok
OUTER CORE,COE1NA,Cisco-ASR-9922,Hu0/1/0/2,COE1NAHu0/1/0/2,Hu,up,Active,TRK:ENLACE:IC1.HOR1 (100GE3/0/2) (S1-003 88COE02 0/18/1) Linea:15005386,NaN,ok
OUTER CORE,COE1NA,Cisco-ASR-9922,Hu0/2/0/1,COE1NAHu0/2/0/1,Hu,up,Active,Enlace 100G NN A CEN2MB Hu0/4/0/0 (Linea:13001617) - UPLINK BBIP,NaN,ok
OUTER CORE,COE1NA,Cisco-ASR-9922,Hu0/4/0/1,COE1NAHu0/4/0/1,Hu,up,Active,TRK:ENLACE:SVC4MU(100GE5/0/0) Linea:13005253 FO,Enlace 100G FO SVC3MU Gi5/0/0 (Linea:13005253) - UPLINK AGN,ok
OUTER CORE,COE1NA,Cisco-ASR-9922,Hu0/4/0/2,COE1NAHu0/4/0/2,Hu,up,Active,Enlace 100G NN A CEN1MB Hu0/6/0/0 (Linea:13002760) - UPLINK BBIP,Enlace 100G NN A CEN1MB Hu0/6/0/0 (Linea:13002760) - UPLINK BBIP,ok
OUTER CORE,COE1NA,Cisco-ASR-9922,Hu0/4/0/3,COE1NAHu0/4/0/3,Hu,up,Active,Enlace 100G FO ARG4MU Gi5/1/0 (Linea:13005255) - UPLINK AGN,Enlace 100G FO ARG4MU Gi5/1/0 (Linea:13005255) - UPLINK AGN,ok
OUTER CORE,COE1NA,Cisco-ASR-9922,Hu0/5/0/0,COE1NAHu0/5/0/0,Hu,up,Active,Enlace 100G FO SAI2MU_G7/0/0 (Linea:13006528) - UPLINK AGN,Enlace 100G FO SAI2MU_G7/0/0 (Linea:13006528) - UPLINK AGN,ok
OUTER CORE,COE1NA,Cisco-ASR-9922,Hu0/5/0/1,COE1NAHu0/5/0/1,Hu,up,Active,Enlace 100G FO ACD4MU_G6/0/0 (Linea:13005251) - UPLINK AGN,Enlace 100G FO ACD4MU_G6/0/0 (Linea:13005251) - UPLINK AGN,ok
OUTER CORE,COE1NA,Cisco-ASR-9922,Hu0/5/0/3,COE1NAHu0/5/0/3,Hu,up,Active,Enlace 100G FO UNI2MU_G7/0/0 (Linea:13006548) - UPLINK AGN,Enlace 100G FO UNI2MU_G7/0/0 (Linea:13006548) - UPLINK AGN,ok
OUTER CORE,COE1NA,Cisco-ASR-9922,Hu0/6/0/0,COE1NAHu0/6/0/0,Hu,up,Active,TRK:ENLACE:CEN1NA (100GE0/6/0/0) Linea:13002874,TRK:ENLACE:CEN1NA (100GE0/6/0/0) Linea:13002874,ok
OUTER CORE,COE1NA,Cisco-ASR-9922,Hu0/6/0/1,COE1NAHu0/6/0/1,Hu,up,Active,TRK:ENLACE:CEN1NA (100GE0/6/0/1) Linea:65988021,TRK:ENLACE:CEN1NA (100GE0/6/0/1) Linea:65988021,ok
OUTER CORE,COE1NA,Cisco-ASR-9922,Hu0/6/0/2,COE1NAHu0/6/0/2,Hu,up,Active,TRK:ENLACE:CEN1NA (100GE0/6/0/2) Linea:65988073,TRK:ENLACE:CEN1NA (100GE0/6/0/2) Linea:65988073,ok
OUTER CORE,COE1NA,Cisco-ASR-9922,Hu0/6/0/3,COE1NAHu0/6/0/3,Hu,up,Active,TRK:ENLACE:CEN1NA (100GE0/6/0/3) Linea:65988074,TRK:ENLACE:CEN1NA (100GE0/6/0/3) Linea:65988074,ok
OUTER CORE,COE1NA,Cisco-ASR-9922,Hu0/6/0/4,COE1NAHu0/6/0/4,Hu,up,Active,TRK:ENLACE:ROA1.CBO1 (et-4/1/0) Linea: 13007367,Enlace contra ROA1.CBO1 4/1/0 - 13007367,ok
OUTER CORE,COE1NA,Cisco-ASR-9922,Te0/10/0/2,COE1NATe0/10/0/2,Te,up,Active,Enlace 10G DWDM RAF3MU_G6/0/1 (Linea:11004650) - UPLINK AGN,NaN,ok
OUTER CORE,COE1NA,Cisco-ASR-9922,Te0/10/0/4,COE1NATe0/10/0/4,Te,up,Active,Enlace 10G DWDM SEZ1MU_G1/0/0 (Linea:13002091) - UPLINK AGN,NaN,ok
OUTER CORE,COE1NA,Cisco-ASR-9922,Te0/10/0/5,COE1NATe0/10/0/5,Te,up,Active,Enlace 10G FO RAF3MU_G8/0/0 (Linea:11002263) - UPLINK AGN - (46CRO02_G1/5/2),NaN,ok
OUTER CORE,COE1NA,Cisco-ASR-9922,Te0/10/0/6,COE1NATe0/10/0/6,Te,up,Active,Enlace 10G NN A SEZ1MU Te3/0/1 (Linea:9005088) - UPLINK BBI,NaN,ok
OUTER CORE,COE1NA,Cisco-ASR-9922,Te0/10/0/7,COE1NATe0/10/0/7,Te,up,Active,Enlace 10G DWDM LAF2MU_G1/0/1 (Linea:13007287) - UPLINK AGN,NaN,ok
OUTER CORE,COE1NA,Cisco-ASR-9922,Te0/10/0/8,COE1NATe0/10/0/8,Te,up,Active,Enlace 10G NN A SEZ1MU Te3/0/2 (Linea:9005113) - UPLINK BBI,NaN,ok
OUTER CORE,MUN1NA,Cisco-ASR-9922,Hu0/16/0/4,MUN1NAHu0/16/0/4,Hu,up,Active,Enlace 100G BEL6MU_Hu0/5/1/0 (Linea:15007973) - UPLINK AGN,Enlace 100G BEL6MU_Hu0/5/1/0 (Linea:15007973) - UPLINK AGN,ok
OUTER CORE,COE1NA,Cisco-ASR-9922,Te0/10/0/10,COE1NATe0/10/0/10,Te,up,Active,Enlace de VDO2MU_5/1/1 (Linea:13006525) - UPLINK AGN,NaN,ok
OUTER CORE,COE1NA,Cisco-ASR-9922,Te0/10/0/12,COE1NATe0/10/0/12,Te,up,Active,Enlace 10G DWDM SLZ2MU_G7/1/0 (Linea:11005053) - UPLINK AGN,NaN,ok
OUTER CORE,COE1NA,Cisco-ASR-9922,Te0/10/0/16,COE1NATe0/10/0/16,Te,up,Active,Enlace 10G a CCP1MB Te0/0/0/0 (Linea:9005079) - UPLINK BBIP,NaN,ok
